item_id,image_filename,title_zh,title_en,sample_stratum_label,source_site_hint,source_collection_url,source_page_url,exact_url_status,exact_url_confidence,attribution,notes,exact_url_notes
45a7366dd41a,images_raw/45a7366dd41a.jpg,转化,,惊奇,artmajeur.com,https://www.artmajeur.com/jeremie-camus?view=grid&collections%5B%5D=2238868,,blocked_or_dynamic_manual_check_needed,,Jeremie Camus,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
280f3c27a098,images_raw/280f3c27a098.jpg,鱼生 #3,,恐惧,artmajeur.com,https://www.artmajeur.com/igor-shulman?view=grid&collections%5B%5D=1286191,,blocked_or_dynamic_manual_check_needed,,Igor Shulman,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
0d5166aa8c12,images_raw/0d5166aa8c12.jpg,奇妙之旅,Wonderful Journey,恐惧,artmajeur.com,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,,blocked_or_dynamic_manual_check_needed,,Picrate,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
70c32c033765,images_raw/70c32c033765.jpg,火星的征服,,厌恶,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,,blocked_or_dynamic_manual_check_needed,,Dags Vidulejs,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
1032c94dc26c,images_raw/1032c94dc26c.jpg,怒猫,Furious Cat,愤怒,artist.artron.net,https://artist.artron.net/artists23462/sale-0-0-0-1-1/,,multiple_exact_work_url_candidates,needs_manual_review,苏大朝,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,Multiple work links matched title on source collection page; verify exact image visually.
d8eec78542df,images_raw/d8eec78542df.jpg,无人驾驶,Driverless,惊奇,tiexin.artron.net,https://tiexin.artron.net/,,no_work_url_match_on_collection_pages,,铁心,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,No matching work title found in crawled collection pages.
900aa74ff476,images_raw/900aa74ff476.jpg,《荷塘追梦系列之二》,Pursuing Dreams in the Lotus Pond Series No. 2,惊奇,tiexin.artron.net,https://tiexin.artron.net/,,no_work_url_match_on_collection_pages,,铁心,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,No matching work title found in crawled collection pages.
ec9727dc1caf,images_raw/ec9727dc1caf.jpg,乡村清晨,,悲伤,artmajeur.com,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,,blocked_or_dynamic_manual_check_needed,,Nga Tran,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
ffd8d1668aa7,images_raw/ffd8d1668aa7.jpg,黎明的金色,,快乐,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,,blocked_or_dynamic_manual_check_needed,,Jean-Humbert Savoldelli,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
49d08e279c77,images_raw/49d08e279c77.jpg,时间的联合,,惊奇,artmajeur.com,https://www.artmajeur.com/elisa-de-montis?view=grid&collections%5B%5D=2450866,,blocked_or_dynamic_manual_check_needed,,Elisa De Montis,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
