item_id,image_filename,title_zh,title_en,sample_stratum_label,source_site_hint,source_page_url,image_file_url,github_image_url,license_status,attribution,notes,source_collection_url,exact_url_status,exact_url_confidence,exact_url_notes
45a7366dd41a,images_raw/45a7366dd41a.jpg,转化,Transformation,惊奇,artmajeur.com,,,https://github.com/hmer-boop/multistage-affect/blob/main/data/release_subset/images/artmajeur/45a7366dd41a.jpg,unknown,Jeremie Camus,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://www.artmajeur.com/jeremie-camus?view=grid&collections%5B%5D=2238868,blocked_or_dynamic_manual_check_needed,,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
280f3c27a098,images_raw/280f3c27a098.jpg,鱼生 #3,Fish Life #3,恐惧,artmajeur.com,,,https://github.com/hmer-boop/multistage-affect/blob/main/data/release_subset/images/artmajeur/280f3c27a098.jpg,unknown,Igor Shulman,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://www.artmajeur.com/igor-shulman?view=grid&collections%5B%5D=1286191,blocked_or_dynamic_manual_check_needed,,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
0d5166aa8c12,images_raw/0d5166aa8c12.jpg,奇妙之旅,Wonderful Journey,恐惧,artmajeur.com,,,https://github.com/hmer-boop/multistage-affect/blob/main/data/release_subset/images/artmajeur/0d5166aa8c12.jpg,unknown,Picrate,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,blocked_or_dynamic_manual_check_needed,,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
70c32c033765,images_raw/70c32c033765.jpg,火星的征服,Conquest of Mars,厌恶,artmajeur.com,,,https://github.com/hmer-boop/multistage-affect/blob/main/data/release_subset/images/artmajeur/70c32c033765.jpg,unknown,Dags Vidulejs,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,blocked_or_dynamic_manual_check_needed,,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
1032c94dc26c,images_raw/1032c94dc26c.jpg,怒猫,Furious Cat,愤怒,artist.artron.net,,,,unknown,苏大朝,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://artist.artron.net/artists23462/sale-0-0-0-1-1/,multiple_exact_work_url_candidates,needs_manual_review,Multiple work links matched title on source collection page; verify exact image visually.
d8eec78542df,images_raw/d8eec78542df.jpg,无人驾驶,Driverless,惊奇,tiexin.artron.net,,,,unknown,铁心,Exact title/filename match in local source folders; exact work-page URL and license still require verification. local_title_source_inference: source attribution checked against add pic folder names and title translation caches; not a redistribution license.,https://tiexin.artron.net/,no_work_url_match_on_collection_pages,,No matching work title found in crawled collection pages. Local add-pic folder confirms title-to-artist/source attribution; exact work-page URL remains unverified.
900aa74ff476,images_raw/900aa74ff476.jpg,《荷塘追梦系列之二》,Pursuing Dreams in the Lotus Pond Series No. 2,惊奇,tiexin.artron.net,,,,unknown,铁心,Exact title/filename match in local source folders; exact work-page URL and license still require verification. local_title_source_inference: source attribution checked against add pic folder names and title translation caches; not a redistribution license.,https://tiexin.artron.net/,no_work_url_match_on_collection_pages,,No matching work title found in crawled collection pages. Local add-pic folder confirms title-to-artist/source attribution; exact work-page URL remains unverified.
ec9727dc1caf,images_raw/ec9727dc1caf.jpg,乡村清晨,Country Morning,悲伤,artmajeur.com,,,https://github.com/hmer-boop/multistage-affect/blob/main/data/release_subset/images/artmajeur/ec9727dc1caf.jpg,unknown,Nga Tran,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,blocked_or_dynamic_manual_check_needed,,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
ffd8d1668aa7,images_raw/ffd8d1668aa7.jpg,黎明的金色,Golden Dawn,快乐,artmajeur.com,,,https://github.com/hmer-boop/multistage-affect/blob/main/data/release_subset/images/artmajeur/ffd8d1668aa7.jpg,unknown,Jean-Humbert Savoldelli,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,blocked_or_dynamic_manual_check_needed,,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
49d08e279c77,images_raw/49d08e279c77.jpg,时间的联合,L'Unione dei tempi,惊奇,artmajeur.com,,,https://github.com/hmer-boop/multistage-affect/blob/main/data/release_subset/images/artmajeur/49d08e279c77.jpg,unknown,Elisa De Montis,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://www.artmajeur.com/elisa-de-montis?view=grid&collections%5B%5D=2450866,blocked_or_dynamic_manual_check_needed,,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
01d0c51f3d96,images_raw/01d0c51f3d96.jpg,山谷中的沉睡者,Sleeper in the Valley,厌恶,artmajeur.com,,,https://github.com/hmer-boop/multistage-affect/blob/main/data/release_subset/images/artmajeur/01d0c51f3d96.jpg,unknown,Jean-Humbert Savoldelli,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,blocked_or_dynamic_manual_check_needed,,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
4922f64f7b32,images_raw/4922f64f7b32.jpg,相信自己的直觉,Trust Your Instincts,敬畏,artmajeur.com,,,https://github.com/hmer-boop/multistage-affect/blob/main/data/release_subset/images/artmajeur/4922f64f7b32.jpg,unknown,Picrate,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,blocked_or_dynamic_manual_check_needed,,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
9e8f13c0ad90,images_raw/9e8f13c0ad90.jpg,废都,The Abandoned Capital,悲伤,guanpuxue.artron.net,,,,unknown,管朴学,Exact title/filename match in local source folders; exact work-page URL and license still require verification. local_title_source_inference: source attribution checked against add pic folder names and title translation caches; not a redistribution license.,https://guanpuxue.artron.net/,no_work_url_match_on_collection_pages,,No matching work title found in crawled collection pages. Local add-pic folder confirms title-to-artist/source attribution; exact work-page URL remains unverified.
7a495437dea8,images_raw/7a495437dea8.jpg,《苹果与马》,Apples and Horses,愤怒,artist.artron.net,https://artist.artron.net/artists23471/2-385359.html#w,,,unknown,尘三,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://artist.artron.net/artists23471/sale-0-0-0-7-1/,exact_work_url_candidate,title_match_on_source_collection_page,Matched collection-page work title: 《苹果与马》《量子坚白论》
438b3376f646,images_raw/438b3376f646.jpg,双生影,Doppelgänger,愤怒,artmajeur.com,,,https://github.com/hmer-boop/multistage-affect/blob/main/data/release_subset/images/artmajeur/438b3376f646.jpg,unknown,Annabelle Amory,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://www.artmajeur.com/annabelle-amory?view=grid&collections%5B%5D=2064842,blocked_or_dynamic_manual_check_needed,,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
40fe75077c7b,images_raw/40fe75077c7b.jpg,淡荡秋光,Gentle Autumn Light,惊奇,guanpuxue.artron.net,,,,unknown,管朴学,Exact title/filename match in local source folders; exact work-page URL and license still require verification. local_title_source_inference: source attribution checked against add pic folder names and title translation caches; not a redistribution license.,https://guanpuxue.artron.net/,no_work_url_match_on_collection_pages,,No matching work title found in crawled collection pages. Local add-pic folder confirms title-to-artist/source attribution; exact work-page URL remains unverified.
817c85485534,images_raw/817c85485534.jpg,中国远征军-老兵李文德,Chinese Expeditionary Force - Veteran Li Wende,快乐,artist.artron.net,https://artist.artron.net/artists5391/1-141760.html#w,,,unknown,苏阳阳,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://artist.artron.net/artists5391/sale-0-0-0-1-1/,exact_work_url_candidate,title_match_on_source_collection_page,Matched collection-page work title: 中国远征军-老兵李文德
113768c9c7f6,images_raw/113768c9c7f6.jpg,阿尔班永恒,Eternal Alban,快乐,artmajeur.com,,,https://github.com/hmer-boop/multistage-affect/blob/main/data/release_subset/images/artmajeur/113768c9c7f6.jpg,unknown,Jean-Humbert Savoldelli,Exact title/filename match in local source folders; exact work-page URL and license still require verification.,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,blocked_or_dynamic_manual_check_needed,,Artmajeur pages returned Cloudflare/browser challenge during command-line access; exact work URL requires manual browser verification.
